App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Is_Free,Rating_Category,Install_Category,Size_Category
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19,10000,Free,0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up,Free,Excellent,Medium,Medium
Coloring book moana,ART_AND_DESIGN,3.9,967,14,500000,Free,0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up,Free,Good,High,Medium
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,5000000,Free,0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up,Free,Excellent,High,Small
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25,50000000,Free,0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up,Free,Excellent,High,Medium
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,100000,Free,0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up,Free,Excellent,Medium,Small
Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,50000,Free,0,Everyone,Art & Design,"March 26, 2017",1.0,2.3 and up,Free,Excellent,Medium,Small
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19,50000,Free,0,Everyone,Art & Design,"April 26, 2018",1.1,4.0.3 and up,Free,Good,Medium,Medium
Infinite Painter,ART_AND_DESIGN,4.1,36815,29,1000000,Free,0,Everyone,Art & Design,"June 14, 2018",6.1.61.1,4.2 and up,Free,Excellent,High,Medium
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33,1000000,Free,0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up,Free,Excellent,High,Large
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,10000,Free,0,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up,Free,Excellent,Medium,Small
Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28,1000000,Free,0,Everyone,Art & Design,"October 27, 2017",1.0.4,4.1 and up,Free,Excellent,High,Medium
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12,1000000,Free,0,Everyone,Art & Design,"July 31, 2018",1.0.15,4.0 and up,Free,Excellent,High,Medium
Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20,10000000,Free,0,Teen,Art & Design,"April 2, 2018",3.8,4.1 and up,Free,Excellent,High,Medium
Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21,100000,Free,0,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up,Free,Excellent,Medium,Medium
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37,100000,Free,0,Everyone,Art & Design,"August 3, 2018",1.2.3,2.3 and up,Free,Excellent,Medium,Large
Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55,2.7,5000,Free,0,Everyone,Art & Design,"June 6, 2018",NaN,4.2 and up,Free,Good,Medium,Small
Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0,Everyone,Art & Design,"July 31, 2018",3.1,4.1 and up,Free,Excellent,High,Small
350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17,10000,Free,0,Everyone,Art & Design,"November 7, 2017",1.0,2.3 and up,Free,Excellent,Medium,Medium
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39,5000000,Free,0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up,Free,Excellent,High,Large
