App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Is_Free,Rating_Category,Install_Category,Size_Category
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,0.7749999999999999,3.519410114789125e-6,0.01812688821752266,9.999000009999e-6,Free,0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up,Free,Excellent,Medium,Medium
Coloring book moana,ART_AND_DESIGN,0.725,2.1517406144849967e-5,0.013091641490433032,4.99999000499999e-4,Free,0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up,Free,Good,High,Medium
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,0.925,0.00194924088439925,0.007754279959718026,0.004999999004999999,Free,0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up,Free,Excellent,High,Small
Sketch - Draw & Paint,ART_AND_DESIGN,0.875,0.004803393388502983,0.02416918429003021,0.04999999905,Free,0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up,Free,Excellent,High,Medium
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,0.825,2.1517406144849967e-5,0.0018126888217522656,9.9999000099999e-5,Free,0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up,Free,Excellent,Medium,Small
Paper flowers instructions,ART_AND_DESIGN,0.8500000000000001,3.697608095284777e-6,0.004632426988922457,4.9999000049999e-5,Free,0,Everyone,Art & Design,"March 26, 2017",1.0,2.3 and up,Free,Excellent,Medium,Small
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,0.7,3.942630318466298e-6,0.01812688821752266,4.9999000049999e-5,Free,0,Everyone,Art & Design,"April 26, 2018",1.1,4.0.3 and up,Free,Good,Medium,Medium
Infinite Painter,ART_AND_DESIGN,0.7749999999999999,8.200225567458661e-4,0.028197381671701913,9.99999000999999e-4,Free,0,Everyone,Art & Design,"June 14, 2018",6.1.61.1,4.2 and up,Free,Excellent,High,Medium
Garden Coloring Book,ART_AND_DESIGN,0.8500000000000001,3.0716876887937995e-4,0.032225579053373615,9.99999000999999e-4,Free,0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up,Free,Excellent,High,Large
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,0.925,2.672969707434778e-6,0.0021148036253776435,9.999000009999e-6,Free,0,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up,Free,Excellent,Medium,Small
Text on Photo - Fonteee,ART_AND_DESIGN,0.8500000000000001,3.091512214123941e-4,0.027190332326283987,9.99999000999999e-4,Free,0,Everyone,Art & Design,"October 27, 2017",1.0.4,4.1 and up,Free,Excellent,High,Medium
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,0.8500000000000001,1.9572820682691166e-4,0.011077542799597181,9.99999000999999e-4,Free,0,Everyone,Art & Design,"July 31, 2018",1.0.15,4.0 and up,Free,Excellent,High,Medium
Tattoo Name On My Photo Editor,ART_AND_DESIGN,0.8,9.985323837073854e-4,0.019133937562940583,0.00999999901,Free,0,Teen,Art & Design,"April 2, 2018",3.8,4.1 and up,Free,Excellent,High,Medium
Mandala Coloring Book,ART_AND_DESIGN,0.8999999999999999,9.63382832054618e-5,0.02014098690835851,9.9999000099999e-5,Free,0,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up,Free,Excellent,Medium,Medium
