App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Is_Free,Rating_Category,Install_Category,Size_Category
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,-0.1297170235221176,-0.1597909817366899,-0.19553187550567927,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up,Free,Excellent,Medium,Medium
Coloring book moana,ART_AND_DESIGN,-0.49353235507792,-0.15932757838671258,-0.24818369785368674,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up,Free,Good,High,Medium
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,0.9617289711452919,-0.1096935237863556,-0.30399462954257467,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up,Free,Excellent,High,Small
Sketch - Draw & Paint,ART_AND_DESIGN,0.5979136395894887,-0.036206240561113344,-0.13234968868807032,0.9108497190562442,Free,-0.06305416804317218,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up,Free,Excellent,High,Medium
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,0.23409830803368553,-0.15932757838671258,-0.3661237799132235,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up,Free,Excellent,Medium,Small
Paper flowers instructions,ART_AND_DESIGN,0.41600597381158794,-0.15978639358470995,-0.33663875939833926,-0.16788830233865984,Free,-0.06305416804317218,Everyone,Art & Design,"March 26, 2017",1.0,2.3 and up,Free,Excellent,Medium,Small
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,-0.6754400208558216,-0.15978008487573747,-0.19553187550567927,-0.16788830233865984,Free,-0.06305416804317218,Everyone,Art & Design,"April 26, 2018",1.1,4.0.3 and up,Free,Good,Medium,Medium
Infinite Painter,ART_AND_DESIGN,-0.1297170235221176,-0.13876806936445085,-0.09022823080966434,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Art & Design,"June 14, 2018",6.1.61.1,4.2 and up,Free,Excellent,High,Medium
Garden Coloring Book,ART_AND_DESIGN,0.41600597381158794,-0.1519727707628149,-0.048106772931258375,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up,Free,Excellent,High,Large
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,0.9617289711452919,-0.1598127754585948,-0.362964670572343,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up,Free,Excellent,Medium,Small
Text on Photo - Fonteee,ART_AND_DESIGN,0.41600597381158794,-0.15192172757203767,-0.10075859527926584,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Art & Design,"October 27, 2017",1.0.4,4.1 and up,Free,Excellent,High,Medium
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,0.41600597381158794,-0.15484208630729088,-0.26924442679288974,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Art & Design,"July 31, 2018",1.0.15,4.0 and up,Free,Excellent,High,Medium
Tattoo Name On My Photo Editor,ART_AND_DESIGN,0.05219064225578477,-0.1341718881185123,-0.1850015110360778,0.04699544766893367,Free,-0.06305416804317218,Teen,Art & Design,"April 2, 2018",3.8,4.1 and up,Free,Excellent,High,Medium
Mandala Coloring Book,ART_AND_DESIGN,0.7798213053673895,-0.15740112807412115,-0.17447114656647628,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up,Free,Excellent,Medium,Medium
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,0.41600597381158794,-0.1590115694190919,-0.005985315052852403,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"August 3, 2018",1.2.3,2.3 and up,Free,Excellent,Medium,Large
Learn To Draw Kawaii Characters,ART_AND_DESIGN,-1.7668860155232293,-0.15985062771242958,-0.36717681636018357,-0.16886013839397057,Free,-0.06305416804317218,Everyone,Art & Design,"June 6, 2018",NaN,4.2 and up,Free,Good,Medium,Small
Photo Designer - Write your name with shapes,ART_AND_DESIGN,0.9617289711452919,-0.15779915025838387,-0.3376917958452994,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Art & Design,"July 31, 2018",3.1,4.1 and up,Free,Excellent,High,Small
350 Diy Room Decor Ideas,ART_AND_DESIGN,0.5979136395894887,-0.15986668624435948,-0.21659260444488226,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Art & Design,"November 7, 2017",1.0,2.3 and up,Free,Excellent,Medium,Medium
FlipaClip - Cartoon animation,ART_AND_DESIGN,0.23409830803368553,-0.04849560563947265,0.015075413886350583,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up,Free,Excellent,High,Large
ibis Paint X,ART_AND_DESIGN,0.7798213053673895,-0.03118508173802973,-0.06916750187046136,0.04699544766893367,Free,-0.06305416804317218,Everyone,Art & Design,"July 30, 2018",5.5.4,4.1 and up,Free,Excellent,High,Large
Logo Maker - Small Business,ART_AND_DESIGN,-0.3116246893000184,-0.15962408770841838,-0.24818369785368674,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"April 20, 2018",4.0,4.1 and up,Free,Good,Medium,Medium
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,-0.1297170235221176,-0.15950708983292905,-0.26924442679288974,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up,Free,Excellent,Medium,Medium
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,0.9617289711452919,-0.1554666484955648,-0.3513812696557813,-0.1581699417855526,Free,-0.06305416804317218,Everyone 10+,Art & Design,"July 12, 2018",2.2.6.2,4.0.3 and up,Free,Excellent,High,Small
HD Mickey Minnie Wallpapers,ART_AND_DESIGN,0.9617289711452919,-0.15981449601558728,-0.1534104176272733,-0.16788830233865984,Free,-0.06305416804317218,Everyone,Art & Design,"July 7, 2018",1.1.3,4.1 and up,Free,Excellent,Medium,Medium
Harley Quinn wallpapers HD,ART_AND_DESIGN,1.1436366369231927,-0.15977205560977253,-0.3324266136104987,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Art & Design,"April 25, 2018",1.5,3.0 and up,Free,Excellent,Medium,Small
Colorfit - Drawing & Coloring,ART_AND_DESIGN,0.9617289711452919,-0.14826267636800874,-0.13234968868807032,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up,Free,Excellent,High,Medium
Animated Photo Editor,ART_AND_DESIGN,-0.1297170235221176,-0.15976574690080006,-0.3313735771635385,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up,Free,Excellent,Medium,Small
Pencil Sketch Drawing,ART_AND_DESIGN,-0.49353235507792,-0.15980417267363234,-0.34716912386794074,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Art & Design,"July 12, 2018",6.0,2.3 and up,Free,Good,Medium,Small
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,-0.1297170235221176,-0.1597542765208501,-0.3513812696557813,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"August 22, 2017",1.0,2.3 and up,Free,Excellent,Medium,Small
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,0.05219064225578477,-0.1592398299800956,-0.2987294473077739,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"July 12, 2018",6.7.12.2018,4.0.3 and up,Free,Excellent,Medium,Small
Art Drawing Ideas,ART_AND_DESIGN,-0.1297170235221176,-0.15975198244486014,-0.34085090518617983,-0.16788830233865984,Free,-0.06305416804317218,Everyone,Art & Design,"May 31, 2018",1.2,2.3 and up,Free,Excellent,Medium,Small
Anime Manga Coloring Book,ART_AND_DESIGN,0.5979136395894887,-0.156994503104896,-0.2797747912624912,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up,Free,Excellent,Medium,Medium
Easy Origami Ideas,ART_AND_DESIGN,0.05219064225578477,-0.15930004947483273,-0.2797747912624912,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up,Free,Excellent,Medium,Medium
I Creative Idea,ART_AND_DESIGN,0.9617289711452919,-0.15967971905117556,-0.3513812696557813,-0.16875215661004717,Free,-0.06305416804317218,Teen,Art & Design,"April 27, 2018",1.6,4.1 and up,Free,Excellent,Medium,Small
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,-0.6754400208558216,-0.15955870654270374,-0.2987294473077739,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up,Free,Good,Medium,Small
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,0.9617289711452919,-0.15521085902268125,-0.1428800531576718,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Art & Design;Creativity,"August 2, 2018",1.0.9,4.4 and up,Free,Excellent,High,Medium
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,0.9617289711452919,-0.15979155525568742,-0.2797747912624912,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Art & Design,"November 29, 2017",1.3,4.0.3 and up,Free,Excellent,Medium,Medium
